# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -300 ps, Average over 80 waveforms. Date: 2023-3-20
# Time [ps] 	 THz Signal [a.u.]
-270.33280937	-0.00516203
-270.29945296	-0.00507080
-270.26609655	-0.00610141
-270.23274014	-0.00616394
-270.19938373	-0.00579064
-270.16602733	-0.00514492
-270.13267092	-0.00606158
-270.09931451	-0.00641869
-270.06595810	-0.00569409
-270.03260169	-0.00593328
-269.99924528	-0.00586320
-269.96588887	-0.00684697
-269.93253246	-0.00674016
-269.89917605	-0.00610456
-269.86581964	-0.00640112
-269.83246323	-0.00615736
-269.79910682	-0.00618287
-269.76575041	-0.00524507
-269.73239400	-0.00584764
-269.69903759	-0.00540600
-269.66568118	-0.00653427
-269.63232477	-0.00567413
-269.59896836	-0.00651109
-269.56561195	-0.00601997
-269.53225554	-0.00514692
-269.49889914	-0.00559773
-269.46554273	-0.00611096
-269.43218632	-0.00595404
-269.39882991	-0.00701036
-269.36547350	-0.00667724
-269.33211709	-0.00633500
-269.29876068	-0.00652057
-269.26540427	-0.00642126
-269.23204786	-0.00740661
-269.19869145	-0.00585548
-269.16533504	-0.00665843
-269.13197863	-0.00697725
-269.09862222	-0.00672556
-269.06526581	-0.00619926
-269.03190940	-0.00666760
-268.99855299	-0.00582338
-268.96519658	-0.00679702
-268.93184017	-0.00641834
-268.89848376	-0.00722256
-268.86512735	-0.00648263
-268.83177094	-0.00567110
-268.79841454	-0.00660088
-268.76505813	-0.00555544
-268.73170172	-0.00604446
-268.69834531	-0.00581536
-268.66498890	-0.00650592
-268.63163249	-0.00628865
-268.59827608	-0.00535523
-268.56491967	-0.00604569
-268.53156326	-0.00658828
-268.49820685	-0.00620058
-268.46485044	-0.00656251
-268.43149403	-0.00646522
-268.39813762	-0.00718225
-268.36478121	-0.00515821
-268.33142480	-0.00667618
-268.29806839	-0.00595365
-268.26471198	-0.00640960
-268.23135557	-0.00652801
-268.19799916	-0.00699158
-268.16464275	-0.00677125
-268.13128634	-0.00643902
-268.09792994	-0.00594468
